--- PREEMPTIVE SJF GANTT ---
[0.001] -- P001 -- [2.000]
[2.000] -- P001 -- [4.000]
[4.000] -- P001 -- [4.001]
[4.002] -- P002 -- [6.000]
[6.000] -- P002 -- [8.000]
[8.000] -- P002 -- [10.000]
[10.000] -- P002 -- [11.002]
[11.003] -- P003 -- [12.000]
[12.001] -- P007 -- [14.000]
[14.000] -- P007 -- [14.001]
[14.002] -- P008 -- [16.000]
[16.000] -- P008 -- [18.000]
[18.000] -- P008 -- [19.002]
[19.003] -- P009 -- [20.000]
[20.000] -- P009 -- [22.000]
[22.000] -- P009 -- [24.000]
[24.000] -- P009 -- [26.000]
[26.000] -- P009 -- [27.003]
[27.004] -- P014 -- [28.000]
[28.000] -- P014 -- [30.000]
[30.000] -- P014 -- [30.004]
[30.005] -- P015 -- [32.000]
[32.000] -- P015 -- [34.000]
[34.000] -- P015 -- [36.000]
[36.000] -- P015 -- [36.005]
[36.006] -- P016 -- [38.000]
[38.001] -- P020 -- [39.001]
[39.002] -- P016 -- [40.000]
[40.001] -- P021 -- [42.000]
[42.000] -- P021 -- [44.000]
[44.000] -- P021 -- [44.001]
[44.002] -- P016 -- [46.000]
[46.000] -- P016 -- [48.000]
[48.000] -- P016 -- [50.000]
[50.000] -- P016 -- [50.010]
[50.011] -- P022 -- [52.000]
[52.001] -- P027 -- [54.000]
[54.000] -- P027 -- [54.001]
[54.002] -- P028 -- [56.000]
[56.000] -- P028 -- [58.000]
[58.000] -- P028 -- [59.002]
[59.003] -- P022 -- [60.000]
[60.000] -- P022 -- [62.000]
[62.000] -- P022 -- [64.000]
[64.000] -- P022 -- [64.014]
[64.015] -- P029 -- [66.000]
[66.001] -- P034 -- [68.000]
[68.000] -- P034 -- [69.001]
[69.002] -- P035 -- [70.000]
[70.000] -- P035 -- [72.000]
[72.000] -- P035 -- [74.000]
[74.000] -- P035 -- [75.002]
[75.003] -- P029 -- [76.000]
[76.000] -- P029 -- [78.000]
[78.001] -- P040 -- [79.001]
[79.002] -- P029 -- [80.000]
[80.000] -- P029 -- [82.000]
[82.000] -- P029 -- [82.020]
[82.021] -- P041 -- [84.000]
[84.000] -- P041 -- [86.000]
[86.000] -- P041 -- [86.021]
[86.022] -- P042 -- [88.000]
[88.000] -- P042 -- [90.000]
[90.000] -- P042 -- [92.000]
[92.000] -- P042 -- [93.022]
[93.023] -- P047 -- [94.000]
[94.000] -- P047 -- [95.023]
[95.024] -- P048 -- [96.000]
[96.000] -- P048 -- [98.000]
[98.000] -- P048 -- [100.000]
[100.000] -- P048 -- [100.024]
